Call Number,Unit ID,Incident Number,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
160013992,89,16000550,01/01/2016,01/01/2016,01/01/2016 11:36:46 PM,01/01/2016 11:38:13 PM,01/01/2016 11:39:35 PM,01/01/2016 11:39:42 PM,01/01/2016 11:46:33 PM,01/02/2016 12:08:43 AM,01/02/2016 12:13:58 AM,Code 2 Transport,01/02/2016 12:50:51 AM,1100 Block of MARKET ST,San Francisco,94102,B02,01,1551,2,2,2,true,Potentially Life-Threatening,1,MEDIC,2,2,6,Tenderloin,"(37.7796660426062, -122.41371122073)",160013992-89
160013962,T03,16000548,01/01/2016,01/01/2016,01/01/2016 11:29:11 PM,01/01/2016 11:29:11 PM,01/01/2016 11:29:36 PM,01/01/2016 11:30:24 PM,01/01/2016 11:31:47 PM,NA,NA,Patient Declined Transport,01/01/2016 11:41:29 PM,POLK ST/MCALLISTER ST,San Francisco,94102,B99,03,3113,3,3,3,false,Potentially Life-Threatening,1,TRUCK,2,2,6,Tenderloin,"(37.7802601311974, -122.418598510275)",160013962-T03
160013962,RS1,16000548,01/01/2016,01/01/2016,01/01/2016 11:29:11 PM,01/01/2016 11:29:11 PM,01/01/2016 11:29:36 PM,01/01/2016 11:30:51 PM,01/01/2016 11:38:47 PM,NA,NA,Patient Declined Transport,01/01/2016 11:39:35 PM,POLK ST/MCALLISTER ST,San Francisco,94102,B99,03,3113,3,3,3,false,Potentially Life-Threatening,1,RESCUE SQUAD,7,2,6,Tenderloin,"(37.7802601311974, -122.418598510275)",160013962-RS1
160013962,RC2,16000548,01/01/2016,01/01/2016,01/01/2016 11:29:11 PM,01/01/2016 11:29:11 PM,01/01/2016 11:29:36 PM,NA,NA,NA,NA,Patient Declined Transport,01/01/2016 11:33:07 PM,POLK ST/MCALLISTER ST,San Francisco,94102,B99,03,3113,3,3,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,8,2,6,Tenderloin,"(37.7802601311974, -122.418598510275)",160013962-RC2
160013962,RC1,16000548,01/01/2016,01/01/2016,01/01/2016 11:29:11 PM,01/01/2016 11:29:11 PM,01/01/2016 11:33:19 PM,01/01/2016 11:33:19 PM,01/01/2016 11:34:54 PM,NA,NA,Patient Declined Transport,01/02/2016 12:07:46 AM,POLK ST/MCALLISTER ST,San Francisco,94102,B99,03,3113,3,3,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,5,2,6,Tenderloin,"(37.7802601311974, -122.418598510275)",160013962-RC1
160013962,E36,16000548,01/01/2016,01/01/2016,01/01/2016 11:29:11 PM,01/01/2016 11:29:11 PM,01/01/2016 11:30:42 PM,01/01/2016 11:30:42 PM,NA,NA,NA,Patient Declined Transport,01/01/2016 11:40:37 PM,POLK ST/MCALLISTER ST,San Francisco,94102,B99,03,3113,3,3,3,true,Potentially Life-Threatening,1,ENGINE,9,2,6,Tenderloin,"(37.7802601311974, -122.418598510275)",160013962-E36
160013962,E05,16000548,01/01/2016,01/01/2016,01/01/2016 11:29:11 PM,01/01/2016 11:29:11 PM,01/01/2016 11:29:36 PM,01/01/2016 11:30:43 PM,01/01/2016 11:32:45 PM,NA,NA,Patient Declined Transport,01/01/2016 11:39:39 PM,POLK ST/MCALLISTER ST,San Francisco,94102,B99,03,3113,3,3,3,true,Potentially Life-Threatening,1,ENGINE,3,2,6,Tenderloin,"(37.7802601311974, -122.418598510275)",160013962-E05
160013962,B04,16000548,01/01/2016,01/01/2016,01/01/2016 11:29:11 PM,01/01/2016 11:29:11 PM,01/01/2016 11:29:36 PM,01/01/2016 11:30:34 PM,01/01/2016 11:33:53 PM,NA,NA,Patient Declined Transport,01/01/2016 11:43:06 PM,POLK ST/MCALLISTER ST,San Francisco,94102,B99,03,3113,3,3,3,false,Potentially Life-Threatening,1,CHIEF,4,2,6,Tenderloin,"(37.7802601311974, -122.418598510275)",160013962-B04
160013962,78,16000548,01/01/2016,01/01/2016,01/01/2016 11:29:11 PM,01/01/2016 11:29:11 PM,01/01/2016 11:29:36 PM,01/01/2016 11:30:20 PM,01/01/2016 11:36:31 PM,NA,NA,Patient Declined Transport,01/02/2016 12:15:58 AM,POLK ST/MCALLISTER ST,San Francisco,94102,B99,03,3113,3,3,3,true,Potentially Life-Threatening,1,MEDIC,6,2,6,Tenderloin,"(37.7802601311974, -122.418598510275)",160013962-78
160013962,75,16000548,01/01/2016,01/01/2016,01/01/2016 11:29:11 PM,01/01/2016 11:29:11 PM,01/01/2016 11:29:11 PM,01/01/2016 11:29:11 PM,01/01/2016 11:29:11 PM,NA,NA,Patient Declined Transport,01/02/2016 12:48:06 AM,POLK ST/MCALLISTER ST,San Francisco,94102,B99,03,3113,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,2,6,Tenderloin,"(37.7802601311974, -122.418598510275)",160013962-75
160013960,E31,16000547,01/01/2016,01/01/2016,01/01/2016 11:25:19 PM,01/01/2016 11:28:28 PM,01/01/2016 11:29:02 PM,01/01/2016 11:30:13 PM,01/01/2016 11:34:56 PM,NA,NA,Fire,01/01/2016 11:59:06 PM,200 Block of 18TH AVE,San Francisco,94121,B07,31,7162,2,2,2,false,Non Life-threatening,1,ENGINE,1,7,1,Outer Richmond,"(37.783294686314, -122.477372735277)",160013960-E31
160013944,E17,16000546,01/01/2016,01/01/2016,01/01/2016 11:22:43 PM,01/01/2016 11:24:03 PM,01/01/2016 11:24:12 PM,01/01/2016 11:26:10 PM,01/01/2016 11:28:39 PM,NA,NA,Code 2 Transport,01/01/2016 11:37:34 PM,0 Block of BERTHA LN,San Francisco,94124,B10,17,6631,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,10,10,Bayview Hunters Point,"(37.7331435009212, -122.380990356551)",160013944-E17
160013944,AM16,16000546,01/01/2016,01/01/2016,01/01/2016 11:22:43 PM,01/01/2016 11:24:03 PM,01/01/2016 11:24:12 PM,01/01/2016 11:24:43 PM,01/01/2016 11:32:29 PM,01/01/2016 11:39:45 PM,01/01/2016 11:52:23 PM,Code 2 Transport,01/02/2016 12:11:15 AM,0 Block of BERTHA LN,San Francisco,94124,B10,17,6631,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,10,10,Bayview Hunters Point,"(37.7331435009212, -122.380990356551)",160013944-AM16
160013933,T06,16000545,01/01/2016,01/01/2016,01/01/2016 11:19:12 PM,01/01/2016 11:21:54 PM,01/01/2016 11:22:06 PM,01/01/2016 11:23:51 PM,01/01/2016 11:24:45 PM,NA,NA,Fire,01/01/2016 11:37:18 PM,400 Block of DUBOCE AVE,San Francisco,94117,B02,06,3525,3,3,3,false,Alarm,1,TRUCK,1,5,8,Hayes Valley,"(37.7694113336686, -122.4308075817)",160013933-T06
160013933,E06,16000545,01/01/2016,01/01/2016,01/01/2016 11:19:12 PM,01/01/2016 11:21:54 PM,01/01/2016 11:22:06 PM,01/01/2016 11:23:35 PM,01/01/2016 11:24:48 PM,NA,NA,Fire,01/01/2016 11:37:24 PM,400 Block of DUBOCE AVE,San Francisco,94117,B02,06,3525,3,3,3,true,Alarm,1,ENGINE,2,5,8,Hayes Valley,"(37.7694113336686, -122.4308075817)",160013933-E06
160013933,B02,16000545,01/01/2016,01/01/2016,01/01/2016 11:19:12 PM,01/01/2016 11:21:54 PM,01/01/2016 11:22:06 PM,01/01/2016 11:23:57 PM,01/01/2016 11:28:10 PM,NA,NA,Fire,01/01/2016 11:37:46 PM,400 Block of DUBOCE AVE,San Francisco,94117,B02,06,3525,3,3,3,false,Alarm,1,CHIEF,3,5,8,Hayes Valley,"(37.7694113336686, -122.4308075817)",160013933-B02
160013922,E19,16000544,01/01/2016,01/01/2016,01/01/2016 11:16:12 PM,01/01/2016 11:17:13 PM,01/01/2016 11:18:44 PM,01/01/2016 11:20:21 PM,01/01/2016 11:25:48 PM,NA,NA,Fire,01/01/2016 11:29:00 PM,600 Block of JOHN MUIR DR,San Francisco,94132,B08,19,8714,3,3,3,true,Fire,1,ENGINE,1,8,7,Lakeshore,"(37.714334813698, -122.492047871678)",160013922-E19
160013921,E01,16000543,01/01/2016,01/01/2016,01/01/2016 11:14:44 PM,01/01/2016 11:16:33 PM,01/01/2016 11:17:18 PM,01/01/2016 11:19:23 PM,01/01/2016 11:22:28 PM,NA,NA,Against Medical Advice,01/01/2016 11:40:22 PM,900 Block of MARKET ST,San Francisco,94102,B03,01,1365,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,3,6,Tenderloin,"(37.7828276498838, -122.409708423721)",160013921-E01
160013921,AM20,16000543,01/01/2016,01/01/2016,01/01/2016 11:14:44 PM,01/01/2016 11:16:33 PM,01/01/2016 11:31:33 PM,01/01/2016 11:32:08 PM,01/01/2016 11:37:28 PM,01/01/2016 11:51:54 PM,01/02/2016 12:03:46 AM,Against Medical Advice,01/02/2016 12:47:05 AM,900 Block of MARKET ST,San Francisco,94102,B03,01,1365,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,3,3,6,Tenderloin,"(37.7828276498838, -122.409708423721)",160013921-AM20
160013921,75,16000543,01/01/2016,01/01/2016,01/01/2016 11:14:44 PM,01/01/2016 11:16:33 PM,01/01/2016 11:25:47 PM,01/01/2016 11:26:01 PM,NA,NA,NA,Against Medical Advice,01/01/2016 11:29:09 PM,900 Block of MARKET ST,San Francisco,94102,B03,01,1365,3,3,3,true,Potentially Life-Threatening,1,MEDIC,4,3,6,Tenderloin,"(37.7828276498838, -122.409708423721)",160013921-75
160013921,52,16000543,01/01/2016,01/01/2016,01/01/2016 11:14:44 PM,01/01/2016 11:16:33 PM,01/01/2016 11:17:18 PM,01/01/2016 11:17:43 PM,01/01/2016 11:21:19 PM,NA,NA,Against Medical Advice,01/02/2016 12:29:44 AM,900 Block of MARKET ST,San Francisco,94102,B03,01,1365,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,3,6,Tenderloin,"(37.7828276498838, -122.409708423721)",160013921-52
160013917,E36,16000542,01/01/2016,01/01/2016,01/01/2016 11:12:20 PM,01/01/2016 11:14:07 PM,01/01/2016 11:14:33 PM,01/01/2016 11:16:09 PM,01/01/2016 11:19:33 PM,NA,NA,Fire,01/01/2016 11:30:37 PM,300 Block of GOLDEN GATE AVE,San Francisco,94102,B02,03,1644,2,2,2,true,Non Life-threatening,1,ENGINE,1,2,6,Tenderloin,"(37.7816051272704, -122.416336251796)",160013917-E36
160013910,E05,16000541,01/01/2016,01/01/2016,01/01/2016 11:08:09 PM,01/01/2016 11:10:04 PM,01/01/2016 11:11:15 PM,01/01/2016 11:12:37 PM,NA,NA,NA,Code 2 Transport,01/01/2016 11:20:43 PM,600 Block of OAK ST,San Francisco,94117,B02,05,3523,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,2,5,Hayes Valley,"(37.7741312122383, -122.430012452236)",160013910-E05
160013910,71,16000541,01/01/2016,01/01/2016,01/01/2016 11:08:09 PM,01/01/2016 11:10:04 PM,01/01/2016 11:11:15 PM,01/01/2016 11:11:23 PM,01/01/2016 11:15:12 PM,01/01/2016 11:34:13 PM,01/01/2016 11:41:52 PM,Code 2 Transport,01/02/2016 12:20:40 AM,600 Block of OAK ST,San Francisco,94117,B02,05,3523,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,2,5,Hayes Valley,"(37.7741312122383, -122.430012452236)",160013910-71
160013878,RC3,16000540,01/01/2016,01/01/2016,01/01/2016 10:52:36 PM,01/01/2016 10:57:28 PM,01/01/2016 11:26:02 PM,01/01/2016 11:26:38 PM,NA,NA,NA,Code 2 Transport,01/02/2016 12:21:37 AM,DIAMOND ST/BOSWORTH ST,San Francisco,94131,B09,26,8261,2,2,2,true,Non Life-threatening,1,RESCUE CAPTAIN,3,9,8,Glen Park,"(37.7335503441786, -122.434144537488)",160013878-RC3
160013878,E26,16000540,01/01/2016,01/01/2016,01/01/2016 10:52:36 PM,01/01/2016 10:57:28 PM,01/01/2016 11:00:18 PM,01/01/2016 11:01:48 PM,01/01/2016 11:06:02 PM,NA,NA,Code 2 Transport,01/02/2016 12:02:23 AM,DIAMOND ST/BOSWORTH ST,San Francisco,94131,B09,26,8261,2,2,2,true,Non Life-threatening,1,ENGINE,1,9,8,Glen Park,"(37.7335503441786, -122.434144537488)",160013878-E26
160013878,57,16000540,01/01/2016,01/01/2016,01/01/2016 10:52:36 PM,01/01/2016 10:57:28 PM,01/01/2016 11:00:18 PM,01/01/2016 11:00:44 PM,01/01/2016 11:11:50 PM,01/01/2016 11:29:40 PM,01/01/2016 11:46:48 PM,Code 2 Transport,01/02/2016 12:41:39 AM,DIAMOND ST/BOSWORTH ST,San Francisco,94131,B09,26,8261,2,2,2,true,Non Life-threatening,1,MEDIC,2,9,8,Glen Park,"(37.7335503441786, -122.434144537488)",160013878-57
160013875,E03,16000539,01/01/2016,01/01/2016,01/01/2016 10:54:48 PM,01/01/2016 10:55:45 PM,01/01/2016 10:55:54 PM,01/01/2016 10:58:18 PM,01/01/2016 10:58:18 PM,NA,NA,Code 2 Transport,01/01/2016 11:04:16 PM,1000 Block of POLK ST,San Francisco,94109,B04,03,3121,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,4,6,Tenderloin,"(37.7861172118379, -122.419854245692)",160013875-E03
160013875,76,16000539,01/01/2016,01/01/2016,01/01/2016 10:54:48 PM,01/01/2016 10:55:45 PM,01/01/2016 10:55:54 PM,01/01/2016 10:56:04 PM,01/01/2016 10:58:36 PM,01/01/2016 11:10:52 PM,01/01/2016 11:16:38 PM,Code 2 Transport,01/01/2016 11:44:18 PM,1000 Block of POLK ST,San Francisco,94109,B04,03,3121,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,4,6,Tenderloin,"(37.7861172118379, -122.419854245692)",160013875-76
160013858,KM07,16000538,01/01/2016,01/01/2016,01/01/2016 10:44:49 PM,01/01/2016 10:44:49 PM,01/01/2016 10:45:11 PM,01/01/2016 10:45:41 PM,01/01/2016 10:50:13 PM,01/01/2016 11:04:29 PM,01/01/2016 11:27:55 PM,Code 2 Transport,01/02/2016 12:02:35 AM,MISSION ST/19TH ST,San Francisco,94110,B02,07,5423,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,2,6,9,Mission,"(37.7602353559327, -122.419206043807)",160013858-KM07
160013858,E07,16000538,01/01/2016,01/01/2016,01/01/2016 10:44:49 PM,01/01/2016 10:44:49 PM,01/01/2016 10:45:11 PM,01/01/2016 10:46:38 PM,01/01/2016 10:47:51 PM,NA,NA,Code 2 Transport,01/01/2016 10:54:20 PM,MISSION ST/19TH ST,San Francisco,94110,B02,07,5423,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,6,9,Mission,"(37.7602353559327, -122.419206043807)",160013858-E07
160013853,E26,16000537,01/01/2016,01/01/2016,01/01/2016 10:43:23 PM,01/01/2016 10:43:23 PM,01/01/2016 10:43:23 PM,01/01/2016 10:43:23 PM,01/01/2016 10:43:23 PM,NA,NA,Fire,01/01/2016 10:43:32 PM,HILIRITAS AV/DIAMOND ST,San Francisco,94131,B06,26,8173,3,3,3,true,Alarm,1,ENGINE,1,6,8,Glen Park,"(37.7377957937744, -122.43691625993)",160013853-E26
160013845,E15,16000536,01/01/2016,01/01/2016,01/01/2016 10:40:07 PM,01/01/2016 10:41:39 PM,01/01/2016 10:41:53 PM,01/01/2016 10:43:30 PM,01/01/2016 10:45:52 PM,NA,NA,Code 2 Transport,01/01/2016 11:00:35 PM,100 Block of MARSTON AV,San Francisco,94112,B09,15,8226,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,9,7,West of Twin Peaks,"(37.7274039986614, -122.447230933222)",160013845-E15
160013845,65,16000536,01/01/2016,01/01/2016,01/01/2016 10:40:07 PM,01/01/2016 10:41:39 PM,01/01/2016 10:41:53 PM,01/01/2016 10:42:01 PM,01/01/2016 10:48:44 PM,01/01/2016 11:12:11 PM,01/01/2016 11:32:03 PM,Code 2 Transport,01/01/2016 11:56:17 PM,100 Block of MARSTON AV,San Francisco,94112,B09,15,8226,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,9,7,West of Twin Peaks,"(37.7274039986614, -122.447230933222)",160013845-65
160013843,KM03,16000535,01/01/2016,01/01/2016,01/01/2016 10:39:47 PM,01/01/2016 10:41:15 PM,01/01/2016 10:43:30 PM,01/01/2016 10:43:58 PM,01/01/2016 10:57:34 PM,01/01/2016 11:06:15 PM,01/01/2016 11:22:55 PM,Code 2 Transport,01/01/2016 11:49:28 PM,900 Block of KEY AVE,San Francisco,94124,B10,44,6575,2,2,2,false,Non Life-threatening,1,PRIVATE,1,10,10,Bayview Hunters Point,"(37.7185768794034, -122.39548795573)",160013843-KM03
160013841,RS1,16000534,01/01/2016,01/01/2016,01/01/2016 10:39:25 PM,01/01/2016 10:40:57 PM,01/01/2016 10:41:10 PM,01/01/2016 10:43:19 PM,NA,NA,NA,Code 2 Transport,01/01/2016 10:44:48 PM,0 Block of GOLDEN GATE AVE,San Francisco,94102,B03,01,1454,3,3,3,false,Potentially Life-Threatening,1,RESCUE SQUAD,4,3,6,Tenderloin,"(37.7822500873167, -122.411268613368)",160013841-RS1
160013841,KM07,16000534,01/01/2016,01/01/2016,01/01/2016 10:39:25 PM,01/01/2016 10:40:57 PM,01/01/2016 10:41:10 PM,01/01/2016 10:41:41 PM,NA,NA,NA,Code 2 Transport,01/01/2016 10:42:35 PM,0 Block of GOLDEN GATE AVE,San Francisco,94102,B03,01,1454,3,3,3,false,Potentially Life-Threatening,1,PRIVATE,5,3,6,Tenderloin,"(37.7822500873167, -122.411268613368)",160013841-KM07
160013841,E36,16000534,01/01/2016,01/01/2016,01/01/2016 10:39:25 PM,01/01/2016 10:40:57 PM,01/01/2016 10:41:10 PM,01/01/2016 10:43:14 PM,NA,NA,NA,Code 2 Transport,01/01/2016 10:44:58 PM,0 Block of GOLDEN GATE AVE,San Francisco,94102,B03,01,1454,3,3,3,true,Potentially Life-Threatening,1,ENGINE,3,3,6,Tenderloin,"(37.7822500873167, -122.411268613368)",160013841-E36
160013841,E01,16000534,01/01/2016,01/01/2016,01/01/2016 10:39:25 PM,01/01/2016 10:40:57 PM,01/01/2016 10:44:54 PM,01/01/2016 10:44:54 PM,01/01/2016 10:48:13 PM,NA,NA,Code 2 Transport,01/01/2016 10:57:55 PM,0 Block of GOLDEN GATE AVE,San Francisco,94102,B03,01,1454,3,3,3,true,Potentially Life-Threatening,1,ENGINE,2,3,6,Tenderloin,"(37.7822500873167, -122.411268613368)",160013841-E01
160013841,67,16000534,01/01/2016,01/01/2016,01/01/2016 10:39:25 PM,01/01/2016 10:40:57 PM,01/01/2016 10:42:23 PM,01/01/2016 10:42:26 PM,01/01/2016 10:44:02 PM,01/01/2016 11:03:43 PM,01/01/2016 11:11:34 PM,Code 2 Transport,01/01/2016 11:57:21 PM,0 Block of GOLDEN GATE AVE,San Francisco,94102,B03,01,1454,3,3,3,true,Potentially Life-Threatening,1,MEDIC,1,3,6,Tenderloin,"(37.7822500873167, -122.411268613368)",160013841-67
160013821,RC1,16000533,01/01/2016,01/01/2016,01/01/2016 10:33:47 PM,01/01/2016 10:34:17 PM,01/01/2016 10:35:12 PM,01/01/2016 10:36:38 PM,01/01/2016 10:40:06 PM,NA,NA,Code 3 Transport,01/01/2016 11:33:16 PM,1200 Block of COLUMBUS AVE,San Francisco,94133,B01,28,1525,3,E,3,true,Potentially Life-Threatening,1,RESCUE CAPTAIN,4,1,3,North Beach,"(37.8056147061622, -122.417757636198)",160013821-RC1
160013821,KM07,16000533,01/01/2016,01/01/2016,01/01/2016 10:33:47 PM,01/01/2016 10:34:17 PM,01/01/2016 10:38:09 PM,NA,NA,NA,NA,Code 3 Transport,01/01/2016 10:38:28 PM,1200 Block of COLUMBUS AVE,San Francisco,94133,B01,28,1525,3,E,3,false,Potentially Life-Threatening,1,PRIVATE,5,1,3,North Beach,"(37.8056147061622, -122.417757636198)",160013821-KM07
160013821,E28,16000533,01/01/2016,01/01/2016,01/01/2016 10:33:47 PM,01/01/2016 10:34:17 PM,01/01/2016 10:34:45 PM,01/01/2016 10:36:45 PM,01/01/2016 10:37:55 PM,NA,NA,Code 3 Transport,01/01/2016 10:45:55 PM,1200 Block of COLUMBUS AVE,San Francisco,94133,B01,28,1525,3,E,3,false,Potentially Life-Threatening,1,ENGINE,1,1,3,North Beach,"(37.8056147061622, -122.417757636198)",160013821-E28
160013821,E02,16000533,01/01/2016,01/01/2016,01/01/2016 10:33:47 PM,01/01/2016 10:34:17 PM,01/01/2016 10:34:45 PM,01/01/2016 10:36:41 PM,01/01/2016 10:38:55 PM,NA,NA,Code 3 Transport,01/01/2016 10:48:46 PM,1200 Block of COLUMBUS AVE,San Francisco,94133,B01,28,1525,3,E,3,true,Potentially Life-Threatening,1,ENGINE,2,1,3,North Beach,"(37.8056147061622, -122.417757636198)",160013821-E02
160013821,AM14,16000533,01/01/2016,01/01/2016,01/01/2016 10:33:47 PM,01/01/2016 10:34:17 PM,01/01/2016 10:34:45 PM,01/01/2016 10:38:21 PM,01/01/2016 10:40:05 PM,01/01/2016 10:53:12 PM,01/01/2016 11:01:28 PM,Code 3 Transport,01/01/2016 11:42:18 PM,1200 Block of COLUMBUS AVE,San Francisco,94133,B01,28,1525,3,E,3,false,Potentially Life-Threatening,1,PRIVATE,3,1,3,North Beach,"(37.8056147061622, -122.417757636198)",160013821-AM14
160013815,E01,16000532,01/01/2016,01/01/2016,01/01/2016 10:29:57 PM,01/01/2016 10:31:24 PM,01/01/2016 10:31:42 PM,01/01/2016 10:34:00 PM,01/01/2016 10:36:13 PM,NA,NA,Code 2 Transport,01/01/2016 10:44:42 PM,900 Block of HOWARD ST,San Francisco,94103,B03,01,2252,3,3,3,true,Potentially Life-Threatening,1,ENGINE,1,3,6,South of Market,"(37.7803475492385, -122.406487967809)",160013815-E01
160013815,70,16000532,01/01/2016,01/01/2016,01/01/2016 10:29:57 PM,01/01/2016 10:31:24 PM,01/01/2016 10:31:42 PM,01/01/2016 10:31:51 PM,01/01/2016 10:39:12 PM,01/01/2016 11:10:42 PM,01/01/2016 11:18:38 PM,Code 2 Transport,01/02/2016 12:01:37 AM,900 Block of HOWARD ST,San Francisco,94103,B03,01,2252,3,3,3,true,Potentially Life-Threatening,1,MEDIC,2,3,6,South of Market,"(37.7803475492385, -122.406487967809)",160013815-70
